task,group,sampleCount,sweepResult,category,recommendation,owner,durationSeconds,diagnostic
inspect_evals/abstention_bench,Safeguards,39558,blocked,missing_dependency,conditional_after_setup,Bench/project environment,2.3,ModuleNotFoundError: No module named 'hydra'
inspect_evals/agent_bench_os,Coding,26,blocked,sandbox_unavailable,conditional_after_setup,User setup / Bench preflight,3.5,Docker sandbox could not start because the local Docker daemon was unavailable.
inspect_evals/agent_threat_bench_autonomy_hijack,Safeguards,6,passed,passed,specialized_candidate,None,7.6,Inspect completed and wrote a successful one-sample log.
inspect_evals/agent_threat_bench_data_exfil,Safeguards,8,passed,passed,specialized_candidate,None,10.6,Inspect completed and wrote a successful one-sample log.
inspect_evals/agent_threat_bench_memory_poison,Safeguards,10,passed,passed,specialized_candidate,None,7,Inspect completed and wrote a successful one-sample log.
inspect_evals/agentdojo,Safeguards,1014,blocked,missing_dependency,conditional_after_setup,Bench/project environment,2.1,"ImportError: email-validator is not installed, run `pip install 'pydantic[email]'`"
inspect_evals/agentharm,Safeguards,176,blocked,credential_or_aux_model,conditional_after_setup,User/task configuration,2.3,inspect_ai._util.error.PrerequisiteError: ERROR: Unable to initialise OpenAI client
inspect_evals/agentharm_benign,Safeguards,176,blocked,credential_or_aux_model,conditional_after_setup,User/task configuration,2.3,inspect_ai._util.error.PrerequisiteError: ERROR: Unable to initialise OpenAI client
inspect_evals/agentic_misalignment,Scheming,1,blocked,credential_or_aux_model,conditional_after_setup,User/task configuration,40.6,inspect_ai._util.error.PrerequisiteError: ERROR: Unable to initialise Anthropic client
inspect_evals/agie_aqua_rat,Knowledge,254,passed,passed,general_candidate,None,5.4,Inspect completed and wrote a successful one-sample log.
inspect_evals/agie_logiqa_en,Knowledge,651,passed,passed,general_candidate,None,6.8,Inspect completed and wrote a successful one-sample log.
inspect_evals/agie_lsat_ar,Knowledge,230,passed,passed,specialized_candidate,None,14.1,Inspect completed and wrote a successful one-sample log.
inspect_evals/agie_lsat_lr,Knowledge,510,passed,passed,specialized_candidate,None,8.2,Inspect completed and wrote a successful one-sample log.
